Gene ID,Seed_Gene,GeneA,GeneB
16,LGALS9,3965,3676
16,LGALS9,3965,10479
16,LGALS9,3965,6533
16,LGALS9,3965,10723
16,LGALS9,3965,22875
16,LGALS9,3965,79572
16,LGALS9,3965,961
16,LGALS9,3965,538
16,LGALS9,3965,5781
16,LGALS9,3965,3958
16,LGALS9,3965,10325
16,LGALS9,3965,2192
16,LGALS9,3965,3688
16,LGALS9,3965,153129
16,LGALS9,3965,3321
16,LGALS9,3965,9847
16,LGALS9,3965,9019
16,LGALS9,3965,284194
16,LGALS9,3965,28962
16,LGALS9,3965,4060
16,LGALS9,3965,1182
16,LGALS9,3965,967
16,LGALS9,3965,5101
16,LGALS9,3965,57670
16,LGALS9,3965,79065
16,LGALS9,3965,1464
16,LGALS9,3965,56996
16,LGALS9,3965,26032
16,LGALS9,3965,9351
16,LGALS9,55872,3965
16,LGALS9,654346,3965
16,LGALS9,10713,3965
16,LGALS9,3965,4035
16,LGALS9,654346,3965
16,LGALS9,3965,286410
16,LGALS9,3965,10444
16,LGALS9,3965,4125
16,LGALS9,3965,4811
16,LGALS9,55872,3965
16,LGALS9,3965,1605
16,LGALS9,3965,5795
16,LGALS9,3965,284217
16,LGALS9,3965,3910
16,LGALS9,3965,10325
16,LGALS9,3965,3676
16,LGALS9,3965,153129
16,LGALS9,3965,1464
16,LGALS9,3965,22795
16,LGALS9,3965,1182
16,LGALS9,3965,57670
16,LGALS9,3965,28962
16,LGALS9,3965,5420
16,LGALS9,3965,3321
16,LGALS9,3965,2335
16,LGALS9,3965,493
16,LGALS9,3965,9497
16,LGALS9,3965,10479
16,LGALS9,3965,4233
16,LGALS9,3965,9990
16,LGALS9,3965,79065
16,LGALS9,3965,9351
16,LGALS9,3965,214
16,LGALS9,3965,22875
16,LGALS9,3965,5796
16,LGALS9,3965,10723
16,LGALS9,3965,284194
16,LGALS9,3965,4012
16,LGALS9,3965,135228
16,LGALS9,3965,64121
16,LGALS9,3965,79932
16,LGALS9,3965,6560
16,LGALS9,3965,9902
16,LGALS9,3965,3958
16,LGALS9,3965,5781
16,LGALS9,3965,2192
16,LGALS9,3965,961
16,LGALS9,3965,1889
16,LGALS9,3965,3912
16,LGALS9,3965,9847
16,LGALS9,3965,11342
16,LGALS9,3965,6533
16,LGALS9,3965,10099
16,LGALS9,3965,4238
16,LGALS9,3965,967
16,LGALS9,3965,6558
16,LGALS9,3965,53
16,LGALS9,3965,79572
16,LGALS9,3965,6653
16,LGALS9,3965,81035
16,LGALS9,3965,4669
16,LGALS9,3965,9019
16,LGALS9,3965,965
16,LGALS9,3965,5361
16,LGALS9,3965,5738
16,LGALS9,3965,3688
16,LGALS9,3965,80381
17,NOD2,64127,64127
17,NOD2,58484,64127
17,NOD2,834,64127
17,NOD2,64127,8767
17,NOD2,64127,8767
17,NOD2,8767,64127
17,NOD2,64127,8767
17,NOD2,8767,64127
17,NOD2,64127,8767
17,NOD2,58484,64127
17,NOD2,64127,100506742
17,NOD2,64127,5987
17,NOD2,5987,64127
17,NOD2,9618,64127
17,NOD2,64127,8767
17,NOD2,64127,9618
17,NOD2,331,64127
17,NOD2,64127,6885
17,NOD2,64127,6885
17,NOD2,8878,64127
17,NOD2,7189,64127
17,NOD2,6885,64127
17,NOD2,64127,6885
17,NOD2,6885,64127
17,NOD2,64127,6885
17,NOD2,55054,64127
17,NOD2,10910,64127
17,NOD2,64127,7316
17,NOD2,55054,64127
17,NOD2,64127,55054
17,NOD2,10392,64127
17,NOD2,64127,10392
17,NOD2,345611,64127
17,NOD2,64127,345611
17,NOD2,64127,345611
17,NOD2,64127,1540
17,NOD2,64127,55072
17,NOD2,64127,10616
17,NOD2,64127,8767
17,NOD2,64127,81858
17,NOD2,64127,7128
17,NOD2,64127,55072
17,NOD2,64127,10616
17,NOD2,64127,81858
17,NOD2,64127,2590
17,NOD2,64127,51024
17,NOD2,64127,7088
17,NOD2,64127,7431
17,NOD2,64127,10524
17,NOD2,64127,5529
17,NOD2,64127,2590
17,NOD2,64127,51024
17,NOD2,64127,7088
17,NOD2,64127,7431
17,NOD2,64127,10524
17,NOD2,64127,5529
17,NOD2,64127,8767
17,NOD2,64127,329
17,NOD2,64127,330
17,NOD2,64127,375607
17,NOD2,64127,331
17,NOD2,64127,8517
17,NOD2,64127,8737
17,NOD2,64127,55072
17,NOD2,64127,10616
17,NOD2,64127,81858
17,NOD2,64127,10980
18,NOS2,4843,4843
18,NOS2,4843,4843
18,NOS2,4843,4843
18,NOS2,4843,51377
18,NOS2,84727,4843
18,NOS2,84727,4843
18,NOS2,92369,4843
18,NOS2,80176,4843
18,NOS2,4843,80176
18,NOS2,4843,92369
18,NOS2,80176,4843
18,NOS2,92369,4843
18,NOS2,4843,80176
18,NOS2,4843,84727
18,NOS2,4843,6921
18,NOS2,4843,8065
18,NOS2,6921,4843
18,NOS2,84727,4843
18,NOS2,84727,4843
18,NOS2,84727,4843
18,NOS2,4843,84727
18,NOS2,4843,80176
18,NOS2,80176,4843
18,NOS2,4843,9368
18,NOS2,5880,4843
18,NOS2,4843,5880
18,NOS2,4843,5879
18,NOS2,4843,5880
18,NOS2,857,4843
18,NOS2,857,4843
18,NOS2,4843,10273
18,NOS2,801,4843
18,NOS2,801,4843
18,NOS2,4843,3320
18,NOS2,3320,4843
18,NOS2,4843,7531
18,NOS2,4843,7532
18,NOS2,4843,10971
18,NOS2,4843,7534
18,NOS2,4843,5518
18,NOS2,4843,6520
18,NOS2,4843,292
18,NOS2,4843,9131
18,NOS2,4843,57016
18,NOS2,4843,216
18,NOS2,4843,444
18,NOS2,4843,488
18,NOS2,4843,708
18,NOS2,4843,3329
18,NOS2,4843,1654
18,NOS2,4843,3301
18,NOS2,4843,10294
18,NOS2,4843,7266
18,NOS2,4843,2010
18,NOS2,4843,2194
18,NOS2,4843,3313
18,NOS2,4843,3309
18,NOS2,4843,80201
18,NOS2,4843,3185
18,NOS2,4843,10808
18,NOS2,4843,3320
18,NOS2,4843,3326
18,NOS2,4843,3306
18,NOS2,4843,3308
18,NOS2,4843,3315
18,NOS2,4843,10075
18,NOS2,4843,3837
18,NOS2,4843,3875
18,NOS2,4843,8140
18,NOS2,4843,5250
18,NOS2,4843,4673
18,NOS2,4843,4869
18,NOS2,4843,5093
18,NOS2,4843,5591
18,NOS2,4843,5706
18,NOS2,4843,5700
18,NOS2,4843,5702
18,NOS2,4843,5704
18,NOS2,4843,5701
18,NOS2,4843,5705
18,NOS2,4843,5682
18,NOS2,4843,5683
18,NOS2,4843,5684
18,NOS2,4843,5686
18,NOS2,4843,5687
18,NOS2,4843,5688
18,NOS2,4843,5695
18,NOS2,4843,5717
18,NOS2,4843,5718
18,NOS2,4843,5719
18,NOS2,4843,5713
18,NOS2,4843,5708
18,NOS2,4843,5709
18,NOS2,4843,9861
18,NOS2,4843,5714
18,NOS2,4843,790
18,NOS2,4843,5954
18,NOS2,4843,9349
18,NOS2,4843,6160
18,NOS2,4843,6125
18,NOS2,4843,6129
18,NOS2,4843,3178
18,NOS2,4843,6218
18,NOS2,4843,6222
18,NOS2,4843,6189
18,NOS2,4843,6188
18,NOS2,4843,6191
18,NOS2,4843,6628
18,NOS2,4843,10856
18,NOS2,4843,6500
18,NOS2,4843,58472
18,NOS2,4843,6742
18,NOS2,4843,6748
18,NOS2,4843,10963
18,NOS2,4843,6950
18,NOS2,4843,10576
18,NOS2,4843,10575
18,NOS2,4843,22948
18,NOS2,4843,7203
18,NOS2,4843,10574
18,NOS2,4843,10694
18,NOS2,4843,908
18,NOS2,4843,7415
18,NOS2,4843,92609
18,NOS2,4843,4904
18,NOS2,4843,801
18,NOS2,4843,813
18,NOS2,4843,6923
18,NOS2,4843,2195
18,NOS2,4843,8925
18,NOS2,4843,1207
18,NOS2,4843,23077
18,NOS2,4843,54814
18,NOS2,4843,221
18,NOS2,4843,9532
18,NOS2,4843,10423
18,NOS2,4843,8065
18,NOS2,4843,23405
18,NOS2,4843,9093
18,NOS2,4843,3959
18,NOS2,4843,143
18,NOS2,4843,5495
18,NOS2,4843,5537
18,NOS2,4843,10213
18,NOS2,4843,5710
18,NOS2,4843,5955
18,NOS2,4843,84617
18,NOS2,4843,7127
18,NOS2,4843,51377
18,NOS2,4843,55352
18,NOS2,4843,200933
18,NOS2,4843,3310
18,NOS2,4843,3383
18,NOS2,4843,23053
18,NOS2,4843,3856
18,NOS2,4843,3887
18,NOS2,4843,5054
18,NOS2,4843,80176
18,NOS2,4843,10551
18,NOS2,4843,7520
18,NOS2,4843,4831
18,NOS2,4843,5094
18,NOS2,4843,5339
18,NOS2,4843,5685
18,NOS2,4843,51495
18,NOS2,4843,5725
18,NOS2,4843,6737
18,NOS2,4843,6634
18,NOS2,4843,6606
18,NOS2,4843,84727
18,NOS2,4843,11171
18,NOS2,4843,10728
18,NOS2,200933,4843
18,NOS2,4843,200933
18,NOS2,5830,4843
18,NOS2,4111,339345
18,NOS2,84727,4843
18,NOS2,339345,23019
18,NOS2,339345,4849
18,NOS2,339345,23019
18,NOS2,23582,339345
18,NOS2,339345,4848
18,NOS2,339345,10766
18,NOS2,339345,85456
18,NOS2,339345,10950
18,NOS2,339345,55571
18,NOS2,339345,25904
18,NOS2,339345,4849
18,NOS2,339345,50488
18,NOS2,339345,23019
18,NOS2,339345,9125
18,NOS2,339345,9337
18,NOS2,339345,57472
18,NOS2,339345,246175
18,NOS2,339345,2274
18,NOS2,339345,27179
18,NOS2,339345,60313
18,NOS2,339345,29883
18,NOS2,339345,9448
18,NOS2,339345,80351
18,NOS2,5743,18126
18,NOS2,18126,5743
19,PTPN22,26191,26191
19,PTPN22,26191,26191
19,PTPN22,26191,2885
19,PTPN22,26191,6708
19,PTPN22,26191,7415
19,PTPN22,26191,7409
19,PTPN22,26191,7535
19,PTPN22,26191,3932
19,PTPN22,26191,58
19,PTPN22,26191,916
19,PTPN22,26191,7535
19,PTPN22,26191,3932
19,PTPN22,26191,916
19,PTPN22,26191,919
19,PTPN22,26191,867
19,PTPN22,1956,26191
19,PTPN22,6733,26191
19,PTPN22,1195,26191
19,PTPN22,1956,26191
19,PTPN22,1956,26191
19,PTPN22,26191,9050
19,PTPN22,26191,1445
19,PTPN22,26191,9587
19,PTPN22,26191,4716
19,PTPN22,26191,5576
19,PTPN22,26191,8574
19,PTPN22,26191,4704
19,PTPN22,26191,811
19,PTPN22,26191,813
